,Combo,Year,"adolescent fertility rate (births per 1,000 women ages 15-19)",age dependency ratio (% of working-age population),"age dependency ratio, old","age dependency ratio, young","birth rate, crude (per 1,000 people)","fertility rate, total (births per woman)","gni per capita, atlas method (current us$)","hospital beds (per 1,000 people)","immunization, bcg (% of one-year-old children)","immunization, dpt (% of children ages 12-23 months)","immunization, measles (% of children ages 12-23 months)","immunization, pol3 (% of one-year-old children)","improved sanitation facilities, rural (% of rural population with access)","improved sanitation facilities, urban (% of urban population with access)","improved water source, urban (% of urban population with access)","labor force, female (% of total labor force)","labor force, total","life expectancy at birth, total (years)",newborns protected against tetanus (%),number of people who are undernourished,"people practicing open defecation, urban (% of urban population)",population growth (annual %),"population, female (% of total)","population, male (% of total)",prevalence of anemia among children (% of children under 5),"prevalence of hiv, female (% ages 15-24)","prevalence of hiv, male (% ages 15-24)","prevalence of hiv, total (% of population ages 15-49)","prevalence of tuberculosis (per 100,000 population)","primary completion rate, female (% of relevant age group)","primary completion rate, male (% of relevant age group)","public spending on education, total (% of gdp)",rural population,rural population (% of total population),rural population growth (annual %),"school enrollment, primary, female (% gross)","school enrollment, primary, male (% net)","school enrollment, secondary, female (% gross)","school enrollment, secondary, female (% net)","school enrollment, secondary, male (% gross)","school enrollment, tertiary, female (% gross)",tuberculosis case detection rate (all forms),"unemployment, female (% of female labor force)","unemployment, male (% of male labor force)",urban population,urban population (% of total),urban population growth (annual %),women's share of population ages 15+ living with hiv (%)
98,Central Europe and the Baltics,1993,3.6885675567569605,51.2131033514851,17.9889884082559,33.193498256020305,1.18182135164431,1.6709893971868301,2435.0779064359804,,97.01784814337928,93.64464377603692,93.72854012933479,93.7487459464457,,93.81959720222879,98.263643296276,45.6868694170835,51223338.0,70.84622957066759,,,0.0147751975806386,0.0689282865470489,51.4513722207436,48.5486277792564,30.9954626417355,,,,,92.39584,92.01077,,42073783.0,38.22058975548121,0.17606497320608103,96.23059,,88.20132,,87.05272,21.08435,,12.238456067543199,11.2581316256459,68007678.0,61.77941024451879,0.0027615291636919896,
99,Central Europe and the Baltics,1994,3.4365416158888196,50.5230674815563,18.2500259448547,32.2411699643294,1.1326649909647901,1.59016621241245,2731.93430169562,,96.3966304622685,95.8265497405427,94.3517292861934,94.8987647198664,,93.84838808817541,98.3384786493421,45.693434265330296,51097374.0,70.86952676458309,,,0.0148363339405615,-0.0562229093234947,51.480787273047,48.519212726953,29.871751816063398,,,,,92.85265,92.64404,,42081242.0,38.248869187809,0.017728379689558,97.12992,,88.4171,,87.09938000000001,24.55404,,12.281002249314001,11.3197923983937,67938328.0,61.751130812191,-0.10197378007818302,
100,Central Europe and the Baltics,1995,3.1830622089576996,49.845224839320096,18.4878343722355,31.328258163664497,1.05176052604993,1.46886873142189,3151.98264239079,,97.76614299224659,96.27140753628281,95.0630915279668,95.69776098259779,,93.9001026986222,98.4045115666041,45.5265486380418,51008981.0,71.02589323418091,,,0.0149334478952339,-0.0966682563838361,51.507022256359996,48.492977743640004,28.8837761512245,,,,,93.53061,93.55563000000001,,42079218.0,38.2840373964947,-0.00480974397095224,97.32871,,88.51614000000001,,86.70063,27.537670000000002,,11.4977264906389,10.4126984117992,67833998.0,61.7159626035053,-0.153565745686294,
101,Central Europe and the Baltics,1996,2.93159886715309,49.2423461621353,18.838772555445,30.376207371580897,1.03257837664081,1.429212803985,3598.71474746673,,97.5880554079573,96.7385072297476,96.31613492790791,96.68339618024271,,93.94512005044541,98.4766423905683,45.5923170196303,51060081.0,71.3354652442541,,,0.0144455323346477,-0.31854131171996897,51.528760377759895,48.471239622240105,28.090724989617897,,,,,95.18753000000001,95.49604000000001,,41967254.0,38.30418707959671,-0.26607908920740897,97.59886999999999,,89.53825,,88.10014,32.1986,,10.6054020082256,9.421995749317981,67595843.0,61.6958129204033,-0.351085011972913,
102,Central Europe and the Baltics,1997,2.6768352332125698,48.655801594656,19.154243498722103,29.480004094876104,1.0124204032094402,1.3817327648903701,3819.6545945641797,,97.1866638903883,96.89215558473758,96.34646728788809,97.0098205013574,,93.8023079300486,98.5798860066533,45.6463070635325,51294845.0,71.5175893276137,,,0.0142681603726446,-0.0949261227984408,51.546918319187604,48.453081680812396,27.4777550743225,,,,,96.64593,97.07173,,41964803.0,38.3383433696185,-0.0058402677477999996,97.83175,,90.2201,,89.32385,35.39334,,10.058979271418801,8.58479234159568,67494290.0,61.6616566303815,-0.150235569959534,
103,Central Europe and the Baltics,1998,2.57618869117936,48.0593879663585,19.427338672327,28.6154339180072,0.9832657715212101,1.33847215813743,3873.3298167518897,,97.269792697927,97.0682661372068,96.5843940257584,96.99709269819971,,93.85078238912729,98.6517747561656,45.6697739244631,51115704.0,71.8981182658969,,,0.0141107466584259,-0.23012067165585398,51.5621374440125,48.4378625559875,27.058493568347398,,,,,95.71696,96.10858,,41899649.0,38.3671091775218,-0.155258681900634,98.2221,,89.6798,,88.71941,35.9176,,9.66404252309282,8.751761403247121,67307556.0,61.632890822478196,-0.276666366888222,
104,Central Europe and the Baltics,1999,2.47981487523856,47.3935530114097,19.664441664180103,27.713277978751897,0.9712395937841141,1.3115282392653302,3919.56899906141,,97.4487147325409,97.163453850353,97.16591924880508,97.2799946633143,,93.90042898246858,98.7243485269077,45.7944211310746,51028658.0,72.1849217877439,,,0.0143235135984214,-0.10482366983021099,51.5771919907407,48.4228080092593,26.7544535786195,,,,,94.49029,95.19934,,41896977.0,38.40492186516,-0.006377141727369921,97.64262,,91.08539,,90.42828,40.361059999999995,,10.5990271247637,10.390244794855802,67195753.0,61.59507813484,-0.166107650677432,
105,Central Europe and the Baltics,2000,2.3946493278627803,46.64367949340771,19.864752250662104,26.761245627751602,0.977091608949588,1.31769702784364,4099.29093950994,,97.442075155036,97.4620574642273,96.6856453379118,97.4862896232592,,93.9263691530063,98.79405784805441,45.896580029101706,50889089.0,72.7196903521431,,,0.0140580435270742,-0.6299301520825511,51.5935856691477,48.4064143308523,26.704136603282,,,,,94.34637,94.90545999999999,,41663018.0,38.4325607358728,-0.558414990179372,98.20538,,92.04028000000001,,91.95285,44.38633,,12.8009401100352,11.912886426611701,66742504.0,61.56743926412721,-0.674520307853385,
106,Central Europe and the Baltics,2001,2.3016996948886397,46.0295985714559,20.1621837519963,25.8426805606891,0.9436486980303661,1.27572029376645,4183.40042034583,,97.0500522678751,97.65128230847981,96.8590065465145,97.6644618769035,,94.0601430344061,98.8639471071998,45.947441704944104,50698296.0,73.0978554683641,,,0.0141755751366672,-0.547926885126756,51.6123437693853,48.3876562306147,26.6926077616332,,,,,96.4888,96.93771,,41430028.0,38.4281942512109,-0.5592249702121851,99.02433,,93.37863,,93.48666999999999,49.54403,,13.589070980459399,13.063693189056801,66381511.0,61.5718057487891,-0.540874223118749,
107,Central Europe and the Baltics,2002,2.2156766936251397,45.387157936867,20.4285594767663,24.9279864976159,0.927645419418352,1.25211950176365,4433.073979994911,,97.26692803434999,97.7913002187118,97.5036166929242,97.35625682845709,,94.25206695839641,98.9760670917379,45.7758170530766,49283363.0,73.243910731566,,,0.0142428232422265,-0.633192890419636,51.632071202709206,48.367928797290794,26.7915580988332,,,,,96.36254,96.9747,,41102930.0,38.3677391368699,-0.7895191381478242,99.20365,,94.57772,,95.05921,53.74207,,14.038909701316301,13.465304487561099,66025954.0,61.6322608631301,-0.535626554207241,
108,Central Europe and the Baltics,2003,2.2380102093053607,44.743139153053704,20.662891057091898,24.045703197743002,0.9276098743104019,1.2490034522918,5208.9152260243,,96.5649741496709,97.6568623966317,97.11647017843892,97.21512998282742,,94.3573031044448,99.04668331607608,45.688222860729894,49288542.0,73.3832335486311,,,0.014305565111302,-0.298599208781084,51.64983434938561,48.3501656506145,26.839896137003304,,,,,97.6414,98.61596999999999,,40935190.0,38.3255995004185,-0.40809742760431794,99.37828,,94.70433,,95.68949,57.69461999999999,,13.4161664854984,12.6891494848465,65873808.0,61.6744004995815,-0.23043362614646398,
109,Central Europe and the Baltics,2004,2.25812669193317,44.1297491043132,20.8384912421356,23.2528111862566,0.9491419277932609,1.2737598914942099,6376.03435058526,,97.00808695404942,97.78621968407671,97.11387028379481,97.4254850750815,,94.51721199278249,99.1170341902932,45.6054447327035,49325616.0,73.73869410402921,,,0.0143644255726573,-0.26082165848986,51.6648574275877,48.3351425724123,26.936752829540897,,,,,99.05495,99.47704,,40783306.0,38.2832496133194,-0.37103528773165795,100.0963,,92.30663,,91.84326999999999,61.53326,,13.1174024647237,12.6562705825588,65747111.0,61.7167503866807,-0.19233289200467102,
110,Central Europe and the Baltics,2005,2.27046559441648,43.5785666306865,20.9464030563659,22.5886470802728,0.9752793382474,1.30927995419495,7718.5268935877,,96.77962729664699,97.80996801116291,97.4519493888745,97.74580536069371,,94.6457860185635,99.19339617913789,45.4240640458408,49146798.0,73.8390724870733,,,0.014432896950917,-0.258820914969291,51.6760292308683,48.3239707691317,26.9550687983445,,,,,97.80556999999999,98.30889,,40624113.0,38.2327702276193,-0.390338635126824,99.02071,,93.32154,,93.44328,65.55203,,12.5962211011184,11.4813842087046,65630581.0,61.7672297723807,-0.177239726928832,
111,Central Europe and the Baltics,2006,2.26578324284692,43.2629539707255,21.1181167075944,22.0958868472431,0.995023227790518,1.3378945983099098,8839.708774182509,,96.9814137918965,97.81760521170081,97.4147546943628,97.88244490080669,,94.78975483912158,99.259940324998,45.3392183013307,49346967.0,74.09335415927609,,,0.0144851995149921,-0.240341382000494,51.683203632817005,48.316796367182995,26.8497462155439,,,,,96.34541999999999,96.93829000000001,,40466352.0,38.1760491759287,-0.38834324825749894,98.41255,,93.46986,,93.90494,68.77943,,10.5353055102015,9.66734820626263,65532968.0,61.82395082407129,-0.148730970399299,
112,Central Europe and the Baltics,2007,2.24683235848706,43.0473072780792,21.234992972848197,21.755074984091898,1.02066719949686,1.38113331310186,10315.2444585228,,96.5621890837524,97.7056883971823,97.5794313990052,97.7056883971823,,94.93182010277229,99.3460878106617,45.1823991387282,49266681.0,74.25238333249241,,,0.0145483657370222,-0.46678506994194896,51.6881992428709,48.3118007571291,26.626488626227,,,,,95.73834000000001,96.42384,,40210273.0,38.1123658050857,-0.6328195830451899,98.58909,,93.96449,,94.55405999999999,71.63041,,8.15724746149321,7.4582088086728096,65294258.0,61.88763419491429,-0.3642594060442971,
113,Central Europe and the Baltics,2008,2.19047690437597,42.9582965051092,21.345398885429898,21.5454414944213,1.07440527669635,1.46621365030044,12295.7762084208,,96.5296176055023,97.74523401855551,97.3628665062187,96.5088504138836,,95.1012377685191,99.4346486179431,45.0335609125257,49429973.0,74.57753902187,,,0.0145943522039145,-0.35813153844549106,51.690569810429004,48.309430189570996,26.435554463555004,,,,,94.55933,95.37629,,39984942.0,38.0350070646192,-0.560381671619098,98.1647,,94.90862,,95.45326,75.14395,,6.9573886739190804,6.2753786029619,65141744.0,61.9649929353809,-0.233579497909304,
114,Central Europe and the Baltics,2009,2.14284940857145,43.0190615439991,21.5153611740388,21.4265534244796,1.07817448924069,1.4902834895033001,12605.499279275,,96.72643704867491,97.53203888590771,97.22581010045441,96.4115361888155,,95.2530464562765,99.5151055523271,45.110088684107396,49530294.0,74.9318257000873,,,0.0146316675212537,-0.19244780530797798,51.6914865301608,48.3085134698392,26.3584912297928,,,,,95.71259,96.08878,,39850108.0,37.9798402942359,-0.33721194343611705,98.69935,,95.24723,,95.71406,76.88943,,8.46586261307338,8.515107519431849,65074264.0,62.0201597057641,-0.10358948940636,
115,Central Europe and the Baltics,2010,2.10884400918957,43.24537794021,21.796014494896998,21.3648112471076,1.05433297981963,1.46504318299051,12724.3303565331,,96.0411033560396,97.25998980526991,97.15624633262951,96.126673552738,,95.37720237744949,99.57654159631929,45.312227765375496,49595317.0,75.29534872880001,,,0.0146891661852356,-0.36270981922102397,51.692528939803104,48.307471060196896,26.4440249488672,,,,,97.32326,97.75758,,39664527.0,37.9405831667341,-0.46569760864888105,99.00564,,96.09581999999999,,96.93751,77.9209,,9.84560849139198,10.0214092013522,64879274.0,62.05941683326589,-0.29964226717954995,
116,Central Europe and the Baltics,2011,2.08113150773477,43.8227381725792,22.2638936158077,21.474038943482,0.9973222786084189,1.39596396028209,12887.855077233,,96.4415507039056,96.29558298295579,96.5608048423388,95.1357821503963,,95.5364125365075,99.63601556827169,45.3790337577734,49396681.0,75.8884748834282,,,0.0143290495795424,-0.35369194200237103,51.6945681021916,48.3054318978084,26.7280330317825,,,,,97.35198000000001,98.24013000000001,,39482464.0,37.9004829589211,-0.459007112324826,98.89293,,96.59389,,97.91216999999999,76.80651999999999,,9.87552637213217,9.713374113290278,64691574.0,62.099517041078904,-0.28930656653155,
